rsID,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,Gene,traitName,efoTraits,bgTraits,accessionId,locations,pubmedId,author,Chromosome,Position
rs5743293-?,1e-320,(subset analysis),NR,-,,-,"NOD2,CYLD-AS1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,16:50729868,26974007,Ellinghaus D,16,50729868.0
rs9271511-?,1e-158,-,NR,-,0.3463,[0.32-0.37],"HLA-DQA1,HLA-DRB1",Ulcerative colitis,ulcerative colitis,-,GCST90446794,6:32621706,37156999,Liu Z,6,32621706.0
rs80174646-?,1e-143,(subset analysis),NR,-,,-,IL23R,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:67242472,26974007,Ellinghaus D,1,67242472.0
rs6927022-A,5e-133,-,0.535,1.444,,[1.387-1.503],HLA-DQA1,Ulcerative colitis,ulcerative colitis,-,GCST001728,6:32644620,23128233,Jostins L,6,32644620.0
rs7517847-?,1e-98,(subset analysis),NR,-,,-,"IL23R,C1orf141","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:67215986,26974007,Ellinghaus D,1,67215986.0
rs76901167-?,2e-94,(EA),NR,-,,-,"HLA-DRB1,HLA-DQA1",Ulcerative colitis,ulcerative colitis,-,GCST003045,6:32608701,26192919,Liu JZ,6,32608701.0
rs2066845-?,6e-94,(subset analysis),NR,-,,-,NOD2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,16:50722629,26974007,Ellinghaus D,16,50722629.0
rs117506082-G,4.0000000000000003e-88,-,NR,3.39,,[2.99-3.83],"HLA-C,HCG27",Ulcerative colitis,ulcerative colitis,-,GCST010001,6:31245448,32072174,Okamoto D,6,31245448.0
rs113653754-C,9.999999999999999e-87,(EA),0.73,1.3593605,,-,"HLA-DQB1,HLA-DQA1",Ulcerative colitis,ulcerative colitis,-,GCST003045,6:32658495,26192919,Liu JZ,6,32658495.0
rs9271209-?,2e-85,(EA),NR,-,,-,"HLA-DQA1,HLA-DRB1",Ulcerative colitis,ulcerative colitis,-,GCST003045,6:32611258,26192919,Liu JZ,6,32611258.0
rs6426833-A,2.9999999999999996e-76,(EA),0.54,1.2616084,,-,"RNF186-AS1,OTUD3",Ulcerative colitis,ulcerative colitis,-,GCST003045,1:19845367,26192919,Liu JZ,1,19845367.0
rs6426833-?,1e-74,-,NR,-,0.2167,[0.19-0.24],"RNF186-AS1,OTUD3",Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:19845367,37156999,Liu Z,1,19845367.0
rs1992661-?,1e-74,(subset analysis),NR,-,,-,"TTC33,RNU1-150P","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:40414887,26974007,Ellinghaus D,5,40414887.0
rs9271366-C,2e-70,(UC vs. CD),0.21,4.44,,[3.74-5.27],"HLA-DRB1,HLA-DQA1",Ulcerative colitis or Crohn's disease,"ulcerative colitis,Crohn's disease",-,GCST001118,6:32619077,21699788,Okada Y,6,32619077.0
rs6426833-A,2e-68,-,0.542,1.265,,[1.221-1.31],"RNF186-AS1,OTUD3",Ulcerative colitis,ulcerative colitis,-,GCST001728,1:19845367,23128233,Jostins L,1,19845367.0
rs9263739-T,4e-67,-,0.15,2.73,,[2.43-3.07],CCHCR1,Ulcerative colitis,ulcerative colitis,-,GCST000529,6:31143579,19915573,Asano K,6,31143579.0
rs35300242-?,5e-67,(subset analysis),NR,-,,-,ATG16L1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:233260144,26974007,Ellinghaus D,2,233260144.0
rs6927022-?,5e-65,-,NR,-,,-,HLA-DQA1,Ulcerative colitis,ulcerative colitis,-,GCST004133,6:32644620,28067908,de Lange KM,6,32644620.0
rs80174646-C,4e-62,(EA),0.93,1.614317,,-,IL23R,Ulcerative colitis,ulcerative colitis,-,GCST003045,1:67242472,26192919,Liu JZ,1,67242472.0
rs6426833-?,6.999999999999999e-62,(subset analysis),NR,-,,-,"RNF186-AS1,OTUD3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:19845367,26974007,Ellinghaus D,1,19845367.0
rs748670681-?,6e-61,-,NR,-,0.7881,[0.69-0.88],TNRC18,Ulcerative colitis,ulcerative colitis,-,GCST90446794,7:5397122,37156999,Liu Z,7,5397122.0
rs6426833-?,1e-55,(EA),NR,-,,-,"RNF186-AS1,OTUD3",Ulcerative colitis,ulcerative colitis,-,GCST003045,1:19845367,26192919,Liu JZ,1,19845367.0
rs9268853-T,1e-55,-,0.66,1.4,,[1.34-1.47],HLA-DRB9,Ulcerative colitis,ulcerative colitis,-,GCST000964,6:32461866,21297633,Anderson CA,6,32461866.0
rs17622378-?,2e-55,(subset analysis),NR,-,,-,"CARINH,IRF1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:132442760,26974007,Ellinghaus D,5,132442760.0
rs3197999-?,7e-55,(subset analysis),NR,-,,-,MST1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,3:49684099,26974007,Ellinghaus D,3,49684099.0
rs9977672-?,4.9999999999999996e-54,(subset analysis),NR,-,,-,"LINC02940,RPL23AP12","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,21:39091357,26974007,Ellinghaus D,21,39091357.0
rs469758-?,5.999999999999999e-54,(subset analysis),NR,-,,-,ERAP1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:96786011,26974007,Ellinghaus D,5,96786011.0
rs115378818-C,7e-53,-,0.9892,-,0.9207,[0.88-0.96],"TSBP1-AS1,TSBP1",Ulcerative colitis,ulcerative colitis,-,GCST90480319,6:32333650,39024449,Verma A,6,32333650.0
rs2836878-G,7e-53,(EA),0.73,1.25304,,-,"LINC02940,RPL23AP12",Ulcerative colitis,ulcerative colitis,-,GCST003045,21:39093608,26192919,Liu JZ,21,39093608.0
